Year,Period,Area,Adjusted,Preliminary,Unemployment Rate
"2021","Jan","Los Angeles County","Adj","Not Prelim","12.6"
"2021","Feb","Los Angeles County","Adj","Not Prelim","11.5"
"2021","Mar","Los Angeles County","Adj","Not Prelim","11.4"
"2021","Apr","Los Angeles County","Adj","Prelim","11.7"
"2020","Jan","Los Angeles County","Adj","Not Prelim","4.8"
"2020","Feb","Los Angeles County","Adj","Not Prelim","5.0"
"2020","Mar","Los Angeles County","Adj","Not Prelim","5.4"
"2020","Apr","Los Angeles County","Adj","Not Prelim","18.3"
"2020","May","Los Angeles County","Adj","Not Prelim","18.8"
"2020","Jun","Los Angeles County","Adj","Not Prelim","17.9"
"2020","Jul","Los Angeles County","Adj","Not Prelim","17.5"
"2020","Aug","Los Angeles County","Adj","Not Prelim","17.2"
"2020","Sep","Los Angeles County","Adj","Not Prelim","13.0"
"2020","Oct","Los Angeles County","Adj","Not Prelim","12.4"
"2020","Nov","Los Angeles County","Adj","Not Prelim","12.5"
"2020","Dec","Los Angeles County","Adj","Not Prelim","12.6"
"2019","Jan","Los Angeles County","Adj","Not Prelim","4.7"
"2019","Feb","Los Angeles County","Adj","Not Prelim","4.6"
"2019","Mar","Los Angeles County","Adj","Not Prelim","4.6"
"2019","Apr","Los Angeles County","Adj","Not Prelim","4.5"
"2019","May","Los Angeles County","Adj","Not Prelim","4.5"
"2019","Jun","Los Angeles County","Adj","Not Prelim","4.5"
"2019","Jul","Los Angeles County","Adj","Not Prelim","4.5"
"2019","Aug","Los Angeles County","Adj","Not Prelim","4.5"
"2019","Sep","Los Angeles County","Adj","Not Prelim","4.6"
"2019","Oct","Los Angeles County","Adj","Not Prelim","4.6"
"2019","Nov","Los Angeles County","Adj","Not Prelim","4.6"
"2019","Dec","Los Angeles County","Adj","Not Prelim","4.7"
"2018","Jan","Los Angeles County","Adj","Not Prelim","4.7"
"2018","Feb","Los Angeles County","Adj","Not Prelim","4.7"
"2018","Mar","Los Angeles County","Adj","Not Prelim","4.6"
"2018","Apr","Los Angeles County","Adj","Not Prelim","4.6"
"2018","May","Los Angeles County","Adj","Not Prelim","4.6"
"2018","Jun","Los Angeles County","Adj","Not Prelim","4.6"
"2018","Jul","Los Angeles County","Adj","Not Prelim","4.6"
"2018","Aug","Los Angeles County","Adj","Not Prelim","4.6"
"2018","Sep","Los Angeles County","Adj","Not Prelim","4.7"
"2018","Oct","Los Angeles County","Adj","Not Prelim","4.7"
"2018","Nov","Los Angeles County","Adj","Not Prelim","4.7"
"2018","Dec","Los Angeles County","Adj","Not Prelim","4.7"
"2017","Jan","Los Angeles County","Adj","Not Prelim","5.1"
"2017","Feb","Los Angeles County","Adj","Not Prelim","5.0"
"2017","Mar","Los Angeles County","Adj","Not Prelim","4.9"
"2017","Apr","Los Angeles County","Adj","Not Prelim","4.9"
"2017","May","Los Angeles County","Adj","Not Prelim","4.8"
"2017","Jun","Los Angeles County","Adj","Not Prelim","4.8"
"2017","Jul","Los Angeles County","Adj","Not Prelim","4.8"
"2017","Aug","Los Angeles County","Adj","Not Prelim","4.8"
"2017","Sep","Los Angeles County","Adj","Not Prelim","4.7"
"2017","Oct","Los Angeles County","Adj","Not Prelim","4.7"
"2017","Nov","Los Angeles County","Adj","Not Prelim","4.7"
"2017","Dec","Los Angeles County","Adj","Not Prelim","4.7"
"2016","Jan","Los Angeles County","Adj","Not Prelim","5.6"
"2016","Feb","Los Angeles County","Adj","Not Prelim","5.5"
"2016","Mar","Los Angeles County","Adj","Not Prelim","5.4"
"2016","Apr","Los Angeles County","Adj","Not Prelim","5.3"
"2016","May","Los Angeles County","Adj","Not Prelim","5.3"
"2016","Jun","Los Angeles County","Adj","Not Prelim","5.3"
"2016","Jul","Los Angeles County","Adj","Not Prelim","5.3"
"2016","Aug","Los Angeles County","Adj","Not Prelim","5.3"
"2016","Sep","Los Angeles County","Adj","Not Prelim","5.3"
"2016","Oct","Los Angeles County","Adj","Not Prelim","5.3"
"2016","Nov","Los Angeles County","Adj","Not Prelim","5.3"
"2016","Dec","Los Angeles County","Adj","Not Prelim","5.2"
"2015","Jan","Los Angeles County","Adj","Not Prelim","7.6"
"2015","Feb","Los Angeles County","Adj","Not Prelim","7.5"
"2015","Mar","Los Angeles County","Adj","Not Prelim","7.4"
"2015","Apr","Los Angeles County","Adj","Not Prelim","7.2"
"2015","May","Los Angeles County","Adj","Not Prelim","7.0"
"2015","Jun","Los Angeles County","Adj","Not Prelim","6.8"
"2015","Jul","Los Angeles County","Adj","Not Prelim","6.6"
"2015","Aug","Los Angeles County","Adj","Not Prelim","6.3"
"2015","Sep","Los Angeles County","Adj","Not Prelim","6.2"
"2015","Oct","Los Angeles County","Adj","Not Prelim","6.0"
"2015","Nov","Los Angeles County","Adj","Not Prelim","5.9"
"2015","Dec","Los Angeles County","Adj","Not Prelim","5.7"
"2014","Jan","Los Angeles County","Adj","Not Prelim","8.9"
"2014","Feb","Los Angeles County","Adj","Not Prelim","8.7"
"2014","Mar","Los Angeles County","Adj","Not Prelim","8.6"
"2014","Apr","Los Angeles County","Adj","Not Prelim","8.5"
"2014","May","Los Angeles County","Adj","Not Prelim","8.4"
"2014","Jun","Los Angeles County","Adj","Not Prelim","8.3"
"2014","Jul","Los Angeles County","Adj","Not Prelim","8.2"
"2014","Aug","Los Angeles County","Adj","Not Prelim","8.1"
"2014","Sep","Los Angeles County","Adj","Not Prelim","8.0"
"2014","Oct","Los Angeles County","Adj","Not Prelim","7.9"
"2014","Nov","Los Angeles County","Adj","Not Prelim","7.8"
"2014","Dec","Los Angeles County","Adj","Not Prelim","7.7"
"2013","Jan","Los Angeles County","Adj","Not Prelim","10.3"
"2013","Feb","Los Angeles County","Adj","Not Prelim","10.3"
"2013","Mar","Los Angeles County","Adj","Not Prelim","10.2"
"2013","Apr","Los Angeles County","Adj","Not Prelim","10.1"
"2013","May","Los Angeles County","Adj","Not Prelim","10.0"
"2013","Jun","Los Angeles County","Adj","Not Prelim","9.9"
"2013","Jul","Los Angeles County","Adj","Not Prelim","9.8"
"2013","Aug","Los Angeles County","Adj","Not Prelim","9.7"
"2013","Sep","Los Angeles County","Adj","Not Prelim","9.5"
"2013","Oct","Los Angeles County","Adj","Not Prelim","9.4"
"2013","Nov","Los Angeles County","Adj","Not Prelim","9.2"
"2013","Dec","Los Angeles County","Adj","Not Prelim","9.0"
"2012","Jan","Los Angeles County","Adj","Not Prelim","11.6"
"2012","Feb","Los Angeles County","Adj","Not Prelim","11.5"
"2012","Mar","Los Angeles County","Adj","Not Prelim","11.4"
"2012","Apr","Los Angeles County","Adj","Not Prelim","11.3"
"2012","May","Los Angeles County","Adj","Not Prelim","11.2"
"2012","Jun","Los Angeles County","Adj","Not Prelim","11.1"
