,county,date,labor_force,employment,unemployment,unemployment_rate
0,Alameda,2021-04-01,795300,745000,50200,0.063
1,Alpine,2021-04-01,540,500,40,0.08
2,Amador,2021-04-01,14270,13270,990,0.07
3,Butte,2021-04-01,91500,85000,6500,0.071
4,Calaveras,2021-04-01,21100,19850,1250,0.059
5,Colusa,2021-04-01,10710,9320,1390,0.13
6,Contra Costa,2021-04-01,530200,495000,35200,0.066
7,Del Norte,2021-04-01,9210,8460,750,0.081
8,El Dorado,2021-04-01,89800,84400,5400,0.06
9,Fresno,2021-04-01,436700,394700,42100,0.096
10,Glenn,2021-04-01,12640,11760,870,0.069
11,Humboldt,2021-04-01,59200,55500,3800,0.063
12,Imperial,2021-04-01,64900,54500,10500,0.161
13,Inyo,2021-04-01,8120,7640,480,0.06
14,Kern,2021-04-01,372700,332600,40100,0.107
15,Kings,2021-04-01,54700,49100,5600,0.102
16,Lake,2021-04-01,28740,26550,2190,0.076
17,Lassen,2021-04-01,9480,8920,560,0.059
19,Los Angeles,2021-04-01,5110500,4548100,562400,0.11
20,Madera,2021-04-01,60200,54500,5700,0.095
21,Marin,2021-04-01,129600,123600,6000,0.046
22,Mariposa,2021-04-01,6820,6260,560,0.082
23,Mendocino,2021-04-01,36000,33640,2360,0.065
24,Merced,2021-04-01,114100,101600,12500,0.109
25,Modoc,2021-04-01,3290,3040,250,0.075
26,Mono,2021-04-01,7430,6870,550,0.074
27,Monterey,2021-04-01,215600,197000,18600,0.086
28,Napa,2021-04-01,67700,63500,4200,0.063
29,Nevada,2021-04-01,45440,42760,2680,0.059
30,Orange,2021-04-01,1536000,1440500,95500,0.062
31,Placer,2021-04-01,183300,173700,9700,0.053
32,Plumas,2021-04-01,7350,6640,710,0.097
33,Riverside,2021-04-01,1099100,1016000,83200,0.076
34,Sacramento,2021-04-01,700800,650500,50300,0.072
35,San Benito,2021-04-01,31100,28700,2400,0.077
36,San Bernardino,2021-04-01,965700,891300,74500,0.077
37,San Diego,2021-04-01,1517500,1415400,102100,0.067
38,San Francisco,2021-04-01,540500,511600,28900,0.054
39,San Joaquin,2021-04-01,328100,298700,29500,0.09
40,San Luis Obispo,2021-04-01,128300,121100,7200,0.056
41,San Mateo,2021-04-01,424000,403400,20500,0.048
42,Santa Barbara,2021-04-01,216300,203300,12900,0.06
43,Santa Clara,2021-04-01,1003800,953900,49900,0.05
44,Santa Cruz,2021-04-01,129400,119400,10000,0.077
45,Shasta,2021-04-01,72500,67400,5100,0.07
46,Sierra,2021-04-01,1280,1190,90,0.067
47,Siskiyou,2021-04-01,16620,15270,1350,0.081
48,Solano,2021-04-01,199300,184200,15100,0.076
49,Sonoma,2021-04-01,238300,224600,13700,0.057
50,Stanislaus,2021-04-01,237800,217300,20400,0.086
51,Sutter,2021-04-01,44000,39800,4200,0.096
52,Tehama,2021-04-01,25090,23240,1860,0.074
53,Trinity,2021-04-01,4440,4150,300,0.066
