,area_type,area_name,date,year,month,seasonally_adjusted_y_n,status_preliminary_final,labor_force,employment,unemployment,unemployment_rate
0,County,Alameda County,2021-04-01T00:00:00.000,2021,April,N,Preliminary,795300,745000,50200,0.063
1,County,Alpine County,2021-04-01T00:00:00.000,2021,April,N,Preliminary,540,500,40,0.08
2,County,Amador County,2021-04-01T00:00:00.000,2021,April,N,Preliminary,14270,13270,990,0.07
3,County,Butte County,2021-04-01T00:00:00.000,2021,April,N,Preliminary,91500,85000,6500,0.071
4,County,Calaveras County,2021-04-01T00:00:00.000,2021,April,N,Preliminary,21100,19850,1250,0.059
5,County,Colusa County,2021-04-01T00:00:00.000,2021,April,N,Preliminary,10710,9320,1390,0.13
6,County,Contra Costa County,2021-04-01T00:00:00.000,2021,April,N,Preliminary,530200,495000,35200,0.066
7,County,Del Norte County,2021-04-01T00:00:00.000,2021,April,N,Preliminary,9210,8460,750,0.081
8,County,El Dorado County,2021-04-01T00:00:00.000,2021,April,N,Preliminary,89800,84400,5400,0.06
9,County,Fresno County,2021-04-01T00:00:00.000,2021,April,N,Preliminary,436700,394700,42100,0.096
10,County,Glenn County,2021-04-01T00:00:00.000,2021,April,N,Preliminary,12640,11760,870,0.069
11,County,Humboldt County,2021-04-01T00:00:00.000,2021,April,N,Preliminary,59200,55500,3800,0.063
12,County,Imperial County,2021-04-01T00:00:00.000,2021,April,N,Preliminary,64900,54500,10500,0.161
13,County,Inyo County,2021-04-01T00:00:00.000,2021,April,N,Preliminary,8120,7640,480,0.06
14,County,Kern County,2021-04-01T00:00:00.000,2021,April,N,Preliminary,372700,332600,40100,0.107
15,County,Kings County,2021-04-01T00:00:00.000,2021,April,N,Preliminary,54700,49100,5600,0.102
16,County,Lake County,2021-04-01T00:00:00.000,2021,April,N,Preliminary,28740,26550,2190,0.076
17,County,Lassen County,2021-04-01T00:00:00.000,2021,April,N,Preliminary,9480,8920,560,0.059
18,County,Los Angeles County,2021-04-01T00:00:00.000,2021,April,Y,Preliminary,5136200,4534700,601600,0.117
19,County,Los Angeles County,2021-04-01T00:00:00.000,2021,April,N,Preliminary,5110500,4548100,562400,0.11
20,County,Madera County,2021-04-01T00:00:00.000,2021,April,N,Preliminary,60200,54500,5700,0.095
21,County,Marin County,2021-04-01T00:00:00.000,2021,April,N,Preliminary,129600,123600,6000,0.046
22,County,Mariposa County,2021-04-01T00:00:00.000,2021,April,N,Preliminary,6820,6260,560,0.082
23,County,Mendocino County,2021-04-01T00:00:00.000,2021,April,N,Preliminary,36000,33640,2360,0.065
